Date,Львів,Галицкий,Залізничний,Личаківський,Сихівський,Франківський,Шевченківський
2003-01-01,488,613,460,450,379,482,436
2003-02-01,503,639,474,461,394,494,447
2003-03-01,521,661,488,481,406,513,461
2003-04-01,542,683,511,497,422,535,484
2003-05-01,553,695,518,513,430,548,492
2003-06-01,571,716,537,526,444,567,509
2003-07-01,579,724,546,539,451,573,514
2003-08-01,597,745,563,551,467,594,534
2003-09-01,632,797,598,580,491,621,565
2003-10-01,661,832,623,609,512,656,590
2003-11-01,691,861,653,642,540,679,621
2003-12-01,726,901,694,665,566,719,657
2004-01-01,757,951,714,698,588,747,679
2004-02-01,762,950,720,708,598,748,686
2004-03-01,784,983,739,723,609,776,700
2004-04-01,794,993,747,734,619,788,709
2004-05-01,801,999,759,740,628,794,716
2004-06-01,817,1012,774,762,646,811,732
2004-07-01,834,1026,794,780,658,832,747
2004-08-01,849,1038,819,798,675,845,762
2004-09-01,865,1064,830,809,688,860,773
2004-10-01,878,1089,837,822,699,869,779
2004-11-01,892,1109,850,831,709,878,796
2004-12-01,924,1156,881,851,726,916,826
2005-01-01,958,1199,902,887,747,950,857
2005-02-01,990,1241,924,920,766,983,881
2005-03-01,1018,1287,945,936,782,1010,908
2005-04-01,1081,1360,1002,1003,827,1084,956
2005-05-01,1129,1425,1052,1040,868,1120,1008
2005-06-01,1202,1520,1119,1092,917,1197,1080
2005-07-01,1250,1577,1165,1150,962,1244,1113
2005-08-01,1330,1684,1227,1230,1022,1312,1186
2005-09-01,1397,1766,1291,1311,1089,1367,1237
2005-10-01,1477,1871,1377,1380,1152,1440,1307
2005-11-01,1503,1910,1399,1394,1172,1472,1328
2005-12-01,1521,1922,1424,1407,1185,1489,1359
2006-01-01,1543,1945,1450,1427,1198,1520,1376
2006-02-01,1568,1972,1475,1447,1218,1549,1400
2006-03-01,1616,2019,1519,1491,1250,1596,1459
2006-04-01,1685,2142,1564,1545,1297,1670,1495
2006-05-01,1743,2233,1610,1598,1334,1728,1537
2006-06-01,1816,2340,1651,1686,1376,1785,1589
2006-07-01,1924,2462,1744,1785,1438,1917,1694
2006-08-01,2027,2603,1828,1871,1517,2007,1795
2006-09-01,2124,2719,1916,1960,1605,2079,1901
2006-10-01,2233,2856,2029,2082,1684,2193,1978
2006-11-01,2348,2982,2169,2179,1787,2312,2087
2006-12-01,2449,3100,2278,2261,1882,2411,2185
2007-01-01,2536,3178,2394,2344,1966,2502,2274
2007-02-01,2602,3256,2461,2391,2019,2560,2352
2007-03-01,2678,3357,2516,2482,2089,2637,2397
2007-04-01,2718,3413,2560,2510,2112,2687,2427
2007-05-01,2758,3468,2599,2543,2144,2727,2463
2007-06-01,2780,3497,2616,2565,2157,2755,2478
2007-07-01,2809,3540,2632,2597,2181,2777,2497
2007-08-01,2830,3556,2656,2626,2197,2797,2520
2007-09-01,2852,3584,2678,2642,2211,2816,2543
2007-10-01,2872,3610,2696,2660,2225,2837,2563
2007-11-01,2889,3624,2719,2674,2238,2857,2584
2007-12-01,2901,3654,2745,2652,2249,2872,2595
2008-01-01,2936,3686,2768,2711,2282,2904,2623
2008-02-01,2955,3700,2768,2761,2303,2920,2628
2008-03-01,2984,3723,2778,2822,2323,2947,2647
2008-04-01,2998,3738,2781,2853,2334,2960,2649
2008-05-01,3019,3769,2781,2892,2358,2974,2656
2008-06-01,3023,3777,2777,2906,2363,2981,2650
2008-07-01,3035,3788,2780,2926,2381,2992,2657
2008-08-01,3057,3806,2792,2964,2406,3015,2672
2008-09-01,3084,3898,2801,2964,2449,3022,2668
2008-10-01,3074,3892,2789,2954,2437,3006,2659
2008-11-01,3051,3867,2770,2927,2411,2987,2635
2008-12-01,2816,3556,2565,2714,2234,2750,2438
2009-01-01,1922,2500,1740,1800,1520,1845,1660
2009-02-01,1766,2276,1598,1674,1416,1704,1517
2009-03-01,1557,1990,1409,1478,1266,1519,1334
2009-04-01,1393,1766,1257,1321,1131,1368,1206
2009-05-01,1268,1591,1142,1202,1034,1255,1108
2009-06-01,1257,1581,1133,1199,1024,1236,1096
2009-07-01,1253,1589,1134,1196,1015,1222,1083
2009-08-01,1274,1625,1152,1207,1032,1240,1102
2009-09-01,1273,1622,1152,1201,1028,1236,1110
2009-10-01,1295,1649,1161,1224,1054,1265,1125
2009-11-01,1322,1688,1181,1244,1083,1299,1142
2009-12-01,1356,1722,1216,1277,1115,1334,1174
2010-01-01,1363,1729,1229,1286,1115,1344,1180
2010-02-01,1361,1726,1227,1283,1112,1343,1179
2010-03-01,1360,1725,1225,1285,1117,1339,1176
2010-04-01,1361,1731,1225,1287,1120,1336,1173
2010-05-01,1380,1777,1240,1295,1139,1344,1181
2010-06-01,1410,1817,1258,1306,1160,1383,1216
2010-07-01,1419,1823,1262,1312,1171,1401,1229
2010-08-01,1416,1820,1259,1312,1167,1396,1224
2010-09-01,1406,1811,1252,1303,1161,1385,1208
2010-10-01,1420,1830,1260,1311,1168,1401,1228
2010-11-01,1425,1833,1262,1319,1172,1405,1231
2010-12-01,1424,1830,1260,1317,1172,1406,1235
2011-01-01,1418,1821,1255,1312,1166,1397,1230
2011-02-01,1412,1813,1251,1307,1162,1393,1227
2011-03-01,1409,1805,1249,1305,1160,1391,1226
2011-04-01,1414,1810,1254,1307,1162,1396,1232
2011-05-01,1423,1820,1268,1316,1168,1407,1239
2011-06-01,1430,1823,1276,1322,1184,1412,1248
2011-07-01,1435,1821,1296,1321,1181,1424,1259
2011-08-01,1441,1813,1304,1341,1171,1432,1272
2011-09-01,1441,1825,1288,1349,1191,1430,1251
2011-10-01,1434,1804,1307,1335,1180,1454,1236
2011-11-01,1424,1770,1328,1321,1170,1472,1223
2011-12-01,1420,1754,1342,1307,1163,1492,1221
2012-01-01,1431,1772,1328,1326,1175,1486,1237
2012-02-01,1439,1792,1311,1341,1189,1477,1246
2012-03-01,1449,1810,1300,1361,1196,1468,1258
2012-04-01,1449,1799,1307,1354,1187,1483,1267
2012-05-01,1448,1785,1318,1346,1181,1495,1274
2012-06-01,1445,1769,1331,1335,1175,1502,1278
2012-07-01,1443,1758,1337,1329,1170,1515,1280
2012-08-01,1443,1744,1352,1320,1165,1524,1290
2012-09-01,1442,1739,1353,1316,1162,1528,1293
2012-10-01,1443,1752,1343,1323,1168,1518,1287
2012-11-01,1446,1766,1335,1331,1173,1510,1282
2012-12-01,1451,1776,1332,1341,1179,1508,1285
2013-01-01,1465,1795,1347,1354,1188,1526,1296
2013-02-01,1477,1802,1359,1367,1196,1538,1311
2013-03-01,1488,1814,1371,1378,1205,1549,1320
2013-04-01,1501,1824,1385,1391,1211,1572,1334
2013-05-01,1514,1838,1404,1402,1223,1583,1349
2013-06-01,1520,1845,1402,1401,1226,1595,1359
2013-07-01,1507,1830,1393,1389,1219,1585,1342
2013-08-01,1493,1818,1383,1379,1209,1567,1323
2013-09-01,1481,1805,1365,1365,1198,1553,1317
2013-10-01,1475,1799,1355,1362,1192,1541,1313
2013-11-01,1468,1793,1354,1354,1188,1532,1306
2013-12-01,1463,1788,1350,1351,1186,1525,1298
2014-01-01,1461,1781,1350,1349,1183,1523,1297
2014-02-01,1464,1776,1353,1358,1179,1533,1302
