Date,Київ,Київ інфл.,Голосіївський,Голосіївський інфл.,Дарницький,Дарницький інфл.,Деснянський,Деснянський інфл.,Дніпровський,Дніпровський інфл.,Оболонський,Оболонський інфл.,Печерський,Печерський інфл.,Подільський,Подільський інфл.,Святошинський,Святошинський інфл.,Солом'янський,Солом'янський інфл.,Шевченківський,Шевченківський інфл.
2003-01-01,568,568,560,560,454,454,411,411,487,487,545,545,826,826,558,558,510,510,560,560,749,749
2003-02-01,589,584,570,566,461,457,419,416,500,496,566,562,900,893,573,569,522,518,574,570,780,774
2003-03-01,610,602,600,592,486,479,440,434,521,514,583,575,911,899,589,581,546,539,586,578,803,792
2003-04-01,632,625,611,604,512,506,455,450,536,530,611,604,922,911,620,613,555,549,625,618,836,826
2003-05-01,644,638,640,634,517,512,468,463,554,549,620,614,936,927,635,629,580,574,626,620,840,832
2003-06-01,664,657,651,644,533,527,480,475,572,566,644,637,959,949,659,652,602,595,650,643,870,861
2003-07-01,675,667,677,669,539,533,488,482,578,571,647,639,970,958,663,655,606,599,653,645,900,889
2003-08-01,695,684,680,669,548,539,503,495,598,589,683,672,1002,986,700,689,634,624,679,668,908,894
2003-09-01,739,725,720,706,590,579,528,518,625,613,700,687,1092,1071,717,703,655,643,734,720,984,965
2003-10-01,771,757,758,744,614,603,571,561,670,658,733,720,1117,1097,761,747,695,683,757,743,1012,994
2003-11-01,805,793,805,793,641,631,578,569,684,674,784,772,1155,1137,784,772,717,706,805,793,1065,1049
2003-12-01,847,835,822,810,659,650,626,617,733,723,820,808,1201,1184,842,830,780,769,851,839,1133,1117
2004-01-01,882,865,870,854,704,691,630,618,760,746,845,829,1281,1257,863,847,790,775,879,862,1160,1138
2004-02-01,890,868,888,867,706,689,638,623,750,732,871,850,1285,1254,866,845,800,781,888,867,1175,1147
2004-03-01,913,885,900,873,730,708,653,633,782,758,875,848,1327,1287,904,877,819,794,899,872,1203,1166
2004-04-01,924,893,909,879,744,719,662,640,794,767,904,874,1322,1278,919,888,830,802,907,877,1211,1170
2004-05-01,935,898,915,879,751,722,679,652,800,769,925,889,1324,1272,923,887,828,796,920,884,1246,1197
2004-06-01,953,913,945,905,768,736,684,655,812,778,966,925,1323,1267,946,906,837,802,938,898,1269,1215
2004-07-01,970,931,971,932,777,745,690,662,833,799,979,939,1326,1272,981,941,862,827,950,911,1305,1252
2004-08-01,991,950,999,958,780,748,701,672,841,806,1004,963,1351,1295,1000,959,875,839,968,928,1374,1317
2004-09-01,1012,968,1007,964,789,755,733,701,864,827,1027,983,1404,1343,1018,974,888,850,981,939,1391,1331
2004-10-01,1029,979,1026,977,801,762,748,712,869,827,1038,988,1475,1404,1029,979,894,851,982,935,1405,1337
2004-11-01,1050,999,1035,985,812,772,759,722,875,832,1051,1000,1525,1451,1031,981,950,904,1007,958,1422,1353
2004-12-01,1084,1035,1049,1002,853,814,777,742,911,870,1060,1012,1580,1509,1080,1031,980,936,1052,1004,1457,1391
2005-01-01,1117,1064,1100,1048,903,860,811,773,945,900,1090,1039,1610,1534,1110,1058,1002,955,1099,1047,1460,1391
2005-02-01,1156,1095,1150,1089,944,894,840,796,978,926,1110,1052,1659,1572,1137,1077,1095,1037,1114,1055,1488,1410
2005-03-01,1190,1119,1160,1090,978,919,888,835,1018,957,1128,1060,1722,1619,1156,1087,1126,1058,1159,1089,1506,1416
2005-04-01,1259,1176,1244,1162,1072,1001,914,853,1055,985,1190,1111,1792,1673,1261,1177,1200,1120,1198,1119,1592,1486
2005-05-01,1321,1235,1287,1203,1114,1041,944,882,1100,1028,1251,1169,1900,1776,1282,1198,1268,1185,1285,1201,1684,1574
2005-06-01,1402,1310,1329,1242,1200,1121,989,924,1190,1112,1328,1241,1945,1817,1359,1270,1364,1274,1394,1302,1771,1654
2005-07-01,1465,1362,1412,1313,1256,1168,1036,963,1227,1141,1406,1307,2060,1916,1407,1308,1423,1323,1411,1312,1887,1755
2005-08-01,1555,1439,1530,1415,1328,1229,1113,1030,1279,1183,1476,1366,2265,2095,1492,1380,1457,1348,1523,1409,1950,1804
2005-09-01,1642,1501,1663,1520,1347,1231,1168,1068,1345,1229,1584,1448,2451,2240,1556,1422,1513,1383,1567,1432,2100,1919
2005-10-01,1735,1583,1757,1603,1379,1258,1231,1123,1420,1295,1640,1496,2682,2446,1671,1524,1529,1395,1673,1526,2259,2061
2005-11-01,1762,1620,1760,1618,1386,1274,1257,1156,1500,1379,1685,1549,2697,2480,1700,1563,1547,1423,1700,1563,2291,2107
2005-12-01,1782,1645,1771,1635,1400,1293,1288,1189,1511,1395,1703,1572,2689,2483,1722,1590,1580,1459,1762,1627,2318,2140
2006-01-01,1804,1653,1792,1642,1430,1310,1304,1195,1539,1410,1711,1568,2680,2456,1769,1621,1600,1466,1778,1629,2360,2162
2006-02-01,1833,1676,1807,1652,1464,1339,1326,1213,1570,1436,1757,1607,2681,2452,1800,1646,1644,1503,1805,1651,2400,2195
2006-03-01,1884,1713,1860,1692,1533,1394,1390,1264,1605,1460,1806,1642,2684,2441,1844,1677,1703,1549,1911,1738,2433,2213
2006-04-01,1970,1776,1921,1732,1576,1421,1478,1333,1438,1297,1868,1684,2900,2615,1913,1725,1799,1622,1919,1730,2517,2270
2006-05-01,2043,1833,1984,1780,1700,1525,1533,1376,1794,1610,1907,1711,2982,2676,1939,1740,1863,1672,1972,1769,2609,2341
2006-06-01,2131,1908,2158,1933,1777,1591,1651,1478,1868,1673,1923,1722,3169,2838,1970,1764,1935,1733,2033,1821,2658,2380
